Gene,FM_mean,HC_mean,FC,d_cohen,p_MW,p_Welch,p_female_only,p_male_only,p_sex_adjusted,Robust_5of5
ZNF253,6.8208,3.609,1.89,0.542,5.45e-06,0.00025662,0.00024396,0.00290129,0.0001705,5
PNRC1,237.1067,399.3087,0.594,-0.644,1.6e-07,1.709e-05,7.64e-06,0.385418,0.00017557,4
MGAT2,10.714,18.6701,0.574,-0.696,2e-08,3.9e-06,8.8e-07,0.88048261,0.0001855,4
COL3A1,2.5057,0.9067,2.764,0.736,6.8e-07,1.37e-06,0.00179219,0.32701011,0.00021183,4
DRD2,0.7215,0.2709,2.663,0.696,2.1e-07,3.66e-06,3.368e-05,0.30223992,0.00021469,4
RPS6KA4,17.7165,30.5722,0.579,-0.672,7.6e-07,8.32e-06,3.773e-05,0.53681325,0.00023879,4
XKR8,4.5995,10.3624,0.444,-0.721,2e-08,2.18e-06,8.183e-05,0.04769022,0.00024492,5
MINPP1,5.8852,9.0051,0.654,-0.577,4.085e-05,0.00011605,0.00279074,0.21662026,0.00024607,4
MTDH,6.784,13.9259,0.487,-0.617,1e-08,4.424e-05,2.85e-06,0.26208651,0.00025857,4
CA3,0.8978,0.3639,2.467,0.667,2.52e-05,9.69e-06,0.00014671,0.68210635,0.0002608,4
PNPT1,2.4357,1.7088,1.425,0.434,0.00011068,0.00320567,5.756e-05,0.0016761,0.00026947,5
ABCE1,2.9746,1.9409,1.533,0.509,6.58e-06,0.00058415,0.00014976,0.21662026,0.00027188,4
PIGY,6.287,12.2588,0.513,-0.667,3.9e-07,1.062e-05,0.00018963,0.18622027,0.00028087,4
MAGEA5,1.3152,0.3112,4.226,0.663,6.318e-05,1.109e-05,0.00162065,0.28597765,0.00028734,4
UBTF,45.015,75.8189,0.594,-0.607,5e-08,4.676e-05,1.24e-06,0.21662026,0.00029327,4
MEN1,12.6209,19.4055,0.65,-0.522,5.38e-06,0.00042742,2.057e-05,0.92378602,0.00029951,4
TSC22D4,62.8767,109.6495,0.573,-0.719,6e-08,1.87e-06,3.464e-05,0.32701011,0.00030111,4
DDX54,30.503,52.3171,0.583,-0.62,3.7e-07,3.582e-05,4.69e-06,0.7949782,0.00030435,4
EPHA3,2.0323,0.9939,2.045,0.673,6.42e-06,7.18e-06,0.00028432,0.69133573,0.0003081,4
NAPSB,37.1142,89.5821,0.414,-0.829,0.0,8e-08,1.89e-06,0.46626286,0.0003114,4
PNKP,26.7854,39.18,0.684,-0.492,1.555e-05,0.00088023,1.379e-05,0.7949782,0.00032351,4
GRPEL1,5.3252,2.2296,2.388,0.474,0.00179311,0.00137663,0.01248487,0.01799716,0.00033113,5
CREBZF,37.2971,103.0995,0.362,-0.665,5e-08,1.347e-05,1.289e-05,0.06339176,0.00033818,4
BAP1,20.5608,39.2955,0.523,-0.631,3.1e-07,2.946e-05,8.701e-05,0.370282,0.0003469,4
OR10A7,2.9119,0.8631,3.374,0.715,3.4e-07,2.23e-06,0.00039797,0.03302939,0.00034729,5
CD93,52.337,101.2744,0.517,-0.615,1.4e-07,3.948e-05,1.613e-05,0.85894553,0.00036499,4
MAGEB18,0.7671,0.2022,3.793,0.766,1.57e-06,5.5e-07,0.00502482,0.02279027,0.0004101,5
CDC20B,0.9289,0.4683,1.984,0.681,4.86e-06,5.41e-06,0.00016529,0.6120509,0.00041522,4
