p_group_only,p_group_sex,p_full_adj,beta_group_full,top_cell_type,top_cell_p,survives,Gene
0.007500524975017629,0.08563463827868086,0.7252104579433608,0.07660094277192839,T_cells_CD8,0.0002504592919313329,NO,DYNC1LI1
0.0025765629007252935,0.032353399233639585,0.8517222678245582,-0.0176606617544199,Mast_cells,0.00010060902174363833,NO,TMEM225
0.0015012181794132262,0.051031105758402376,0.4020974622075513,0.12937772009856202,Basophils,0.021360518834862965,NO,RP11-1023L17.2
0.004040984411238196,0.025155226518126607,0.8257787247452139,0.02677513337410028,Mast_cells,0.0006109318502893887,NO,GUCA1C
0.5788070358591344,0.5742293493489631,0.8005140884246202,0.0435715735664964,Dendritic_cells,0.001743565665495632,NO,SNTA1
8.223191419198671e-08,5.89181440586404e-06,0.007073111933946389,-0.541707394259103,Mast_cells,4.809958435913059e-06,SI,SDF4
0.15602728853908043,0.2270868876229929,0.616137700531396,0.11383549352276005,T_cells_Treg,4.735675593179231e-05,NO,C9orf85
0.6331958582597229,0.5806196693474566,0.44438025200953263,-0.13003922391495623,T_cells_CD8,0.01849487220878294,NO,PMS2CL
0.11422905833961003,0.3190096635143717,0.20572227127435852,0.1607827191799072,T_cells_CD8,0.05252704796270058,NO,HOXB4
0.30141113442067313,0.16724760974226116,0.07435676504795828,0.26056803258063593,Basophils,0.015839862071395212,NO,FAM217B
1.1153763076150646e-06,0.0014694580554212668,0.28378157922781355,0.10968219543000284,Mast_cells,2.111963085891844e-06,NO,AFM
0.07901571196613068,0.21313426218665,0.4373408817526563,0.14667740669321255,T_cells_CD4,0.009349791302487306,NO,PDE9A
3.940019911793561e-06,3.361451075673508e-05,0.009028681705111355,-0.6436750504758924,Mast_cells,0.004837447603694665,SI,NME3
0.03657196862469861,0.05643599112278744,0.09382518196733929,0.19090518184840496,Dendritic_cells,0.007896626678511135,NO,RP11-686O6.3
0.5692453770298684,0.12522376458520665,0.062291254816436,0.3137871078296206,NK_cells,0.000542131430347041,NO,POLR1B
0.004020151034947544,0.035834670747398906,0.5267951053489466,0.10237245158446077,T_cells_Treg,0.0006412286453917151,NO,CSGALNACT2P2
0.008441854160861807,0.17725697182736697,0.6737970848856641,0.0757454594303743,NK_cells,8.609538277085141e-06,NO,HTATIP2
0.0014324866690195914,0.045298173142832715,0.390728960118268,0.08563354768158452,Mast_cells,2.0451115436631775e-05,NO,ARMCX5
0.021920297362241083,0.3807816562364271,0.3075660543699417,0.2347418062555362,T_cells_CD8,5.567580677386209e-06,NO,RPL21P28
0.005691324328157183,0.0163902043483638,0.21717662414803643,0.20259341422227847,Mast_cells,0.007088241314793954,NO,LYSMD4
3.1673383962283432e-06,0.0010527274730122746,0.0146293545681302,0.28595946003281325,Mast_cells,1.0623681536903153e-05,SI,KALRN
0.028859951894509486,0.029675368652642312,0.04501006389489707,0.2299648516414186,Dendritic_cells,8.629868067033874e-05,SI,RPL13AP7
0.004016588884838752,0.01154713365662077,0.46408388327170064,0.11541849220393317,Eosinophils,0.00015186758593801707,NO,DHX35-DT
0.07418517807684118,0.46880620653989047,0.9008542138404441,-0.014612409223584621,Eosinophils,0.0036000267495530326,NO,TMEM231
0.0078015974016513384,0.0074886830605111025,0.003609709507433043,0.395796749544739,NK_cells,0.00010872969055158481,SI,GPHN
0.8634507931256962,0.32926303857504075,0.001930063582481722,0.44886963840319627,NK_cells,1.4684504779873207e-05,SI,ZNF281
0.020656367614050375,0.18616540180778823,0.5456805500929235,0.08580223978262569,T_cells_CD8,0.0011769601864875395,NO,MIR3913-1
0.19321446289754063,0.1656930830463572,0.08592518510309473,0.20675842175217496,Basophils,0.005608277300447706,NO,C17orf80
0.0025914942061909868,0.042259978522826334,0.17687377357161596,0.18468457290693469,Dendritic_cells,3.7147795300159324e-07,NO,ZNF879
0.00023047730699961335,0.001598555026951945,0.029165594297908454,0.19844365887981694,Mast_cells,6.640773486808267e-06,SI,PCSK9
0.20444941620186155,0.8415229200452274,0.02662805560268051,0.48120849488694056,NK_cells,4.19450286099143e-06,SI,WASHC3
