gene_id,log2FC,p_value,p_adj
8027266,0.1495263800995037,0.0030959234224911627,0.4869012657106438
7976724,0.11320066666666673,0.0031224055028191786,0.4869012657106438
7931027,0.09738338706467609,0.003132605445487338,0.4869012657106438
8148982,-0.1512776159203959,0.0030471363585159216,0.4869012657106438
8057615,0.11336090945273725,0.0031439400584974144,0.4869012657106438
7967418,0.12208393432835907,0.0031626602320336235,0.48753285993529427
7925480,-0.1396448736318403,0.003200754172565127,0.49113139024839186
8064388,0.10174839800995006,0.0032616099854769595,0.4914109850064539
8031899,-0.08647925373134058,0.0032520883375318347,0.4914109850064539
7967028,0.293047205970149,0.003240500916978211,0.4914109850064539
7911155,-0.16057784875621905,0.0032582870471455604,0.4914109850064539
8162639,-0.15446852338308492,0.003306391638749004,0.4959140648442594
7958200,-0.10334397213930391,0.0033370217546240108,0.4960393453737308
8150253,0.07931719004975157,0.0033332483522615732,0.4960393453737308
7970907,-0.12941812736318248,0.003395584555598657,0.50250123976786
8104463,0.05798489552238806,0.003711432842739852,0.5057001490554077
8113938,0.13407130945273682,0.00472619185816629,0.5057001490554077
8155591,-0.20948760995024784,0.004187125685685713,0.5057001490554077
8161384,-0.26191476815920467,0.004708330524021776,0.5057001490554077
8148917,-0.0802218328358224,0.004316910050135019,0.5057001490554077
8132515,-0.12941941890547337,0.004332648654700734,0.5057001490554077
7931726,0.10935801194029882,0.0050875665837754255,0.5057001490554077
7911351,-0.06803887363183847,0.0035072002518456258,0.5057001490554077
7925743,0.18055461492537273,0.004149672355331961,0.5057001490554077
7977736,0.21380974328357993,0.004170943591843062,0.5057001490554077
8180216,-0.08882966169154205,0.00489118184838051,0.5057001490554077
7941203,0.09471139701492515,0.005018873736696506,0.5057001490554077
8065569,0.19419994029850507,0.004001643648106975,0.5057001490554077
8148941,-0.10509838009950556,0.00400542158945206,0.5057001490554077
8165723,0.07656338706467736,0.004576110628860068,0.5057001490554077
8171760,-0.19639204975124258,0.003876660749939755,0.5057001490554077
8162902,0.09745326965174161,0.0037814041824192498,0.5057001490554077
8169701,-0.15210891343283617,0.00492447695633936,0.5057001490554077
