chembl_id,pref_name,smiles,molecular_weight,affinity_type,d2_affinity_nm,d3_affinity_nm,selectivity_ratio,scaffold
CHEMBL26120,,Cc1nn(C2CCN(Cc3cccc(C#N)c3)CC2)cc1-c1ccccc1,356.47,Ki,15.000,260.000,17.33,Other Aliphatic/Heterocyclic
CHEMBL1223682,,Cc1cccc(N2CCN(CCCCNc3ccccn3)CC2)c1C,338.50,Ki,12.000,207.000,17.25,Other Aliphatic/Heterocyclic
CHEMBL231374,,COc1ccc2c(c1)Cc1ccccc1CCCN(C)CC2,295.43,Ki,1396.000,23903.000,17.12,Other Aliphatic/Heterocyclic
CHEMBL1940406,,Fc1ccc(OCCCN2CCC(c3ccc(Cl)cc3)CC2)cc1,347.86,Ki,41.000,696.000,16.98,Other Aliphatic/Heterocyclic
CHEMBL77743,,c1ccc(CCN2CCC(c3cc(-c4cccs4)[nH]n3)CC2)cc1,337.49,Ki,65.000,1100.000,16.92,Other Aliphatic/Heterocyclic
CHEMBL5399720,,COc1ccc2nc(CCCN3CCC(c4ccccn4)CC3)sc2c1,367.52,Ki,427.000,7200.000,16.86,Other Aliphatic/Heterocyclic
CHEMBL78923,,Nc1nc(-c2ccc(Cl)cc2)cc(C2CCN(Cc3ccccc3)CC2)n1,378.91,Ki,8.600,140.000,16.28,Other Aliphatic/Heterocyclic
CHEMBL3318848,,CN(C)CCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,475.00,Ki,1.850,30.000,16.22,Other Aliphatic/Heterocyclic
CHEMBL246637,,OC1(c2ccc(Cl)c(Cl)c2)CCN(Cc2c[nH]c3ccccc23)CC1,375.30,Ki,6.900,111.000,16.09,Other Aliphatic/Heterocyclic
CHEMBL4085282,,CN[C@@H]1Cc2cccc3c2n(c(=O)n3CCOCCOCCOCCCCc2ccccc2)C1,467.61,Ki,34.700,558.000,16.08,Other Aliphatic/Heterocyclic
CHEMBL378515,,COc1ccccc1N1CCN(Cc2cn3nc(Cl)ccc3n2)CC1,357.85,Ki,87.500,1400.000,16.00,Phenylpiperazine derivative
CHEMBL355566,,CNc1cc(OC)c(C(=O)NC[C@@H]2CN(Cc3ccccc3)C[C@@H]2C)cc1Cl,401.94,Ki,36.000,570.000,15.83,Other Aliphatic/Heterocyclic
CHEMBL165664,,c1ccc(N2CCN(C[C@H]3CC[C@H](Nc4ncccn4)CC3)CC2)cc1,351.50,Ki,5.700,89.000,15.61,Other Aliphatic/Heterocyclic
CHEMBL4863832,,COc1ccc(F)cc1[C@H]1C[C@@H]1CNCCCOc1ccc2ccc(=O)[nH]c2c1,396.46,EC50,4.097,63.665,15.54,Other Aliphatic/Heterocyclic
CHEMBL405260,,FCCOc1ccccc1N1CCN(Cc2cc3ccccn3n2)CC1,354.43,Ki,62.500,940.000,15.04,Phenylpiperazine derivative
CHEMBL3318824,,CCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,431.94,Ki,2.750,41.000,14.91,Other Aliphatic/Heterocyclic
CHEMBL4091933,,O=C1CCc2ccc(OCCCCN3CCN(c4ccc(O)c5c4OCCO5)CC3)cc2N1,453.54,Ki,2.550,38.000,14.90,Other Aliphatic/Heterocyclic
CHEMBL1803052,,CCOCCn1cc(CCCOc2ccc(CN3CCN(c4ccccc4OC)CC3)cc2OC)nn1,509.65,Ki,17.000,250.000,14.71,Other Aliphatic/Heterocyclic
CHEMBL397207,,COc1cc2c(cc1OC)Cc1ccccc1CCCN(C)CC2,325.45,Ki,1028.000,14830.000,14.43,Other Aliphatic/Heterocyclic
CHEMBL4063235,,COc1ccccc1N1CCN(CCCCOc2ccn3ncc(C#N)c3c2)CC1,405.50,Ki,0.205,2.900,14.15,Phenylpiperazine derivative
CHEMBL477646,,O=C1c2ccccc2CCN1CCCCN1CCN(c2cccc(Cl)c2Cl)CC1,432.40,Ki,11.480,162.180,14.13,Phenylpiperazine derivative
CHEMBL1170879,,O=C(O)C(=O)O.OC1(c2ccc(Br)cc2)CCN(Cc2c[nH]c3ncccc23)CC1,386.29,Ki,212.000,2983.000,14.07,Other Aliphatic/Heterocyclic
CHEMBL4865907,,CN1CCN(Cc2ccc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2)CC1,466.60,Ki,1.700,23.200,13.65,Phenylpiperazine derivative
CHEMBL91669,,Cn1c(-c2ccccc2)cn(C2CCN(Cc3ccccc3)CC2)c1=O,347.46,Ki,11.000,150.000,13.64,Other Aliphatic/Heterocyclic
CHEMBL1173366,,O=C(O)C(=O)O.OC1(c2ccc(Br)cc2)CCN(Cc2c[nH]c3ccc(OCCF)cc23)CC1,447.35,Ki,13.800,188.000,13.62,Other Aliphatic/Heterocyclic
CHEMBL211118,,COc1ccccc1N1CCN(Cc2cn3cc(C)cc(N4CCOCC4)c3n2)CC1,421.55,Ki,155.000,2100.000,13.55,Phenylpiperazine derivative
CHEMBL328667,,O=C(Nc1nccc2ccccc12)NC1CCN(Cc2ccccc2)CC1,360.46,Ki,150.000,2000.000,13.33,Other Aliphatic/Heterocyclic
CHEMBL316125,,Cc1c(-c2ccccc2)nc(O)n1C1CCN(CC2CCCCC2)CC1,353.51,Ki,83.000,1100.000,13.25,Other Aliphatic/Heterocyclic
CHEMBL1803029,,COc1cc(CN2CCN(c3ccccc3OC)CC2)ccc1OCCCc1cn(CCOCCOCCOCCn2cc(CCCOc3ccc(CN4CCN(c5ccccc5OC)CC4)cc3OC)nn2)nn1,1033.28,Ki,5.500,72.000,13.09,Other Aliphatic/Heterocyclic
CHEMBL434665,,CCCN[C@@H]1Cc2cccc3nc(O)n(c23)C1,231.30,Ki,2.780,36.000,12.95,Other Aliphatic/Heterocyclic
CHEMBL91821,,Cc1nc(O)n(C2CCN(Cc3ccccc3)CC2)c1-c1ccccc1,347.46,Ki,280.000,3600.000,12.86,Other Aliphatic/Heterocyclic
CHEMBL238718,,O=c1c2ccccc2ncn1CCCCN1CCN(c2ccc(Cl)cc2)CC1,396.92,Ki,140.000,1780.000,12.71,Phenylpiperazine derivative
CHEMBL4083239,,O=C1CCc2ccc(OCCCCN3CCN(c4ccc(O)c5[nH]c(=O)ccc45)CC3)cc2N1,462.55,Ki,0.945,12.000,12.70,Other Aliphatic/Heterocyclic
CHEMBL1257688,,O=C(CCCN1CCC(O)(c2cc3ccc2CCc2ccc(cc2)CC3)CC1)c1ccc(F)cc1,471.62,Ki,4.200,53.000,12.62,Other Aliphatic/Heterocyclic
CHEMBL3318845,,CC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,417.91,Ki,4.500,56.000,12.44,Other Aliphatic/Heterocyclic
CHEMBL394779,,CN1CCCc2ccccc2Cc2cc(O)ccc2CC1,281.40,Ki,63.000,776.000,12.32,Other Aliphatic/Heterocyclic
